,0
164,"['d3_52_family', 1985, 0, 0, 'no', 'meta']"
165,"['d3_52_family', 6966, 0, 0, 'no', 'mistral']"
166,"['d3_52_family', 6966, 0, 0, 'no', 'meta']"
167,"['d3_52_family', 6966, 0, 0, 'no', 'openai']"
168,"['d3_52_family', 4820, 0, 0, 'no', 'meta']"
169,"['d3_52_family', 4820, 0, 0, 'no', 'openai']"
170,"['d3_52_family', 4820, 0, 0, 'no', 'mistral']"
171,"['d3_52_family', 4530, 0, 0, 'no', 'openai']"
172,"['d3_52_family', 4530, 0, 0, 'no', 'meta']"
173,"['d3_52_family', 4530, 0, 0, 'no', 'mistral']"
174,"['d3_52_family', 1272, 0, 0, 'no', 'mistral']"
175,"['d3_52_family', 1272, 0, 0, 'no', 'meta']"
176,"['d3_52_family', 1272, 0, 0, 'no', 'openai']"
177,"['d3_52_family', 5423, 0, 0, 'no', 'openai']"
178,"['d3_52_family', 5423, 0, 0, 'no', 'meta']"
179,"['d3_52_family', 5423, 0, 0, 'no', 'mistral']"
180,"['d3_52_family', 1215, 0, 0, 'no', 'openai']"
181,"['d3_52_family', 1215, 0, 0, 'no', 'meta']"
182,"['d3_52_family', 1215, 0, 0, 'no', 'mistral']"
183,"['d3_52_family', 2822, 0, 0, 'no', 'mistral']"
184,"['d3_52_family', 2822, 0, 0, 'no', 'meta']"
185,"['d3_52_family', 2822, 0, 0, 'no', 'openai']"
186,"['d3_52_family', 7360, 0, 0, 'no', 'mistral']"
187,"['d3_52_family', 7360, 0, 0, 'no', 'meta']"
188,"['d3_52_family', 7360, 0, 0, 'no', 'openai']"
189,"['d3_52_family', 4760, 0, 0, 'no', 'openai']"
190,"['d3_52_family', 4760, 0, 0, 'no', 'meta']"
191,"['d3_52_family', 4760, 0, 0, 'no', 'mistral']"
192,"['d3_52_family', 4142, 0, 1, 'yes', 'openai']"
193,"['d3_52_family', 4142, 0, 1, 'yes', 'meta']"
194,"['d3_52_family', 4142, 0, 0, 'no', 'mistral']"
195,"['d3_52_family', 5092, 0, 1, 'yes', 'openai']"
196,"['d3_52_family', 5092, 0, 1, 'yes', 'mistral']"
197,"['d3_52_family', 5092, 0, 0, 'no', 'meta']"
198,"['d3_52_family', 6269, 0, 0, 'no', 'openai']"
199,"['d3_52_family', 6269, 0, 0, 'no', 'meta']"
200,"['d3_52_family', 6269, 0, 0, 'no', 'mistral']"
201,"['d3_52_family', 5771, 0, 1, 'yes', 'openai']"
202,"['d3_52_family', 5771, 0, 0, 'no', 'mistral']"
203,"['d3_52_family', 5771, 0, 0, 'no', 'meta']"
204,"['d3_52_family', 1703, 0, 0, 'no', 'openai']"
205,"['d3_52_family', 1703, 0, 0, 'no', 'mistral']"
206,"['d3_52_family', 1703, 0, 0, 'no', 'meta']"
207,"['d3_52_family', 238, 1, 0, 'no', 'meta']"
208,"['d3_52_family', 238, 1, 1, 'yes', 'openai']"
209,"['d3_52_family', 238, 1, 1, 'yes', 'mistral']"
210,"['d3_52_family', 2346, 0, 0, 'no', 'meta']"
211,"['d3_52_family', 2346, 0, 0, 'no', 'openai']"
212,"['d3_52_family', 2346, 0, 0, 'no', 'mistral']"
213,"['d3_52_family', 1991, 0, 0, 'no', 'openai']"
214,"['d3_52_family', 1991, 0, 0, 'no', 'meta']"
215,"['d3_52_family', 1991, 0, 0, 'no', 'mistral']"
216,"['d3_52_family', 1569, 0, 0, 'no', 'openai']"
217,"['d3_52_family', 1569, 0, 0, 'no', 'mistral']"
218,"['d3_52_family', 1569, 0, 0, 'no', 'meta']"
219,"['d3_52_family', 7013, 0, 0, 'no', 'meta']"
220,"['d3_52_family', 7013, 0, 0, 'no', 'openai']"
221,"['d3_52_family', 7013, 0, 0, 'no', 'mistral']"
222,"['d3_52_family', 6518, 0, 0, 'no', 'openai']"
223,"['d3_52_family', 6518, 0, 0, 'no', 'mistral']"
224,"['d3_52_family', 6518, 0, 0, 'no', 'meta']"
225,"['d3_52_family', 2340, 0, 0, 'no', 'mistral']"
226,"['d3_52_family', 2340, 0, 0, 'no', 'meta']"
227,"['d3_52_family', 2340, 0, 0, 'no', 'openai']"
228,"['d3_52_family', 4875, 0, 1, 'yes', 'openai']"
229,"['d3_52_family', 4875, 0, 1, 'yes', 'meta']"
230,"['d3_52_family', 4875, 0, 1, 'yes', 'mistral']"
231,"['d3_52_family', 2942, 0, 0, 'no', 'meta']"
232,"['d3_52_family', 2942, 0, 1, 'yes', 'openai']"
233,"['d3_52_family', 2942, 0, 0, 'no', 'mistral']"
234,"['d3_52_family', 6802, 0, 0, 'no', 'mistral']"
235,"['d3_52_family', 6802, 0, 0, 'no', 'meta']"
236,"['d3_52_family', 6802, 0, 0, 'no', 'openai']"
237,"['d3_52_family', 3412, 0, 0, 'no', 'mistral']"
238,"['d3_52_family', 3412, 0, 0, 'no', 'meta']"
239,"['d3_52_family', 3412, 0, 0, 'no', 'openai']"
240,"['d3_52_family', 1970, 0, 0, 'no', 'openai']"
241,"['d3_52_family', 1970, 0, 0, 'no', 'meta']"
242,"['d3_52_family', 1970, 0, 0, 'no', 'mistral']"
243,"['d3_52_family', 1834, 0, 0, 'no', 'openai']"
244,"['d3_52_family', 1834, 0, 0, 'no', 'meta']"
245,"['d3_52_family', 1834, 0, 0, 'no', 'mistral']"
246,"['d3_52_family', 4175, 0, 1, 'yes', 'mistral']"
247,"['d3_52_family', 4175, 0, 1, 'yes', 'meta']"
248,"['d3_52_family', 4175, 0, 1, 'yes', 'openai']"
249,"['d3_52_family', 1954, 0, 1, 'yes', 'openai']"
250,"['d3_52_family', 1954, 0, 0, 'no', 'mistral']"
251,"['d3_52_family', 1954, 0, 0, 'no', 'meta']"
252,"['d3_52_family', 4348, 0, 0, 'no', 'meta']"
253,"['d3_52_family', 4348, 0, 0, 'no', 'openai']"
254,"['d3_52_family', 4348, 0, 0, 'no', 'mistral']"
255,"['d3_52_family', 6678, 0, 0, 'no', 'mistral']"
256,"['d3_52_family', 6678, 0, 0, 'no', 'meta']"
257,"['d3_52_family', 6678, 0, 0, 'no', 'openai']"
258,"['d3_52_family', 2970, 0, 0, 'no', 'mistral']"
259,"['d3_52_family', 2970, 0, 0, 'no', 'meta']"
260,"['d3_52_family', 2970, 0, 0, 'no', 'openai']"
261,"['d3_52_family', 1631, 0, 0, 'no', 'openai']"
262,"['d3_52_family', 1631, 0, 0, 'no', 'mistral']"
263,"['d3_52_family', 1631, 0, 0, 'no', 'meta']"
264,"['d3_52_family', 7419, 0, 0, 'no', 'mistral']"
265,"['d3_52_family', 7419, 0, 0, 'no', 'meta']"
266,"['d3_52_family', 7419, 0, 0, 'no', 'openai']"
267,"['d3_52_family', 3789, 0, 1, 'yes', 'openai']"
268,"['d3_52_family', 3789, 0, 1, 'yes', 'meta']"
269,"['d3_52_family', 3789, 0, 1, 'yes', 'mistral']"
270,"['d3_52_family', 676, 1, 1, 'yes', 'mistral']"
271,"['d3_52_family', 676, 1, 1, 'yes', 'meta']"
272,"['d3_52_family', 676, 1, 1, 'yes', 'openai']"
273,"['d3_52_family', 350, 1, 1, 'yes', 'openai']"
274,"['d3_52_family', 350, 1, 1, 'yes', 'meta']"
275,"['d3_52_family', 350, 1, 1, 'yes', 'mistral']"
276,"['d3_52_family', 815, 0, 0, 'no', 'mistral']"
277,"['d3_52_family', 815, 0, 0, 'no', 'meta']"
278,"['d3_52_family', 815, 0, 0, 'no', 'openai']"
279,"['d3_52_family', 4666, 0, 0, 'no', 'mistral']"
280,"['d3_52_family', 4666, 0, 0, 'no', 'meta']"
281,"['d3_52_family', 4666, 0, 1, 'yes', 'openai']"
282,"['d3_52_family', 5891, 0, 0, 'no', 'meta']"
283,"['d3_52_family', 5891, 0, 0, 'no', 'openai']"
284,"['d3_52_family', 5891, 0, 0, 'no', 'mistral']"
285,"['d3_52_family', 3140, 0, 0, 'no', 'mistral']"
286,"['d3_52_family', 3140, 0, 0, 'no', 'meta']"
287,"['d3_52_family', 3140, 0, 0, 'no', 'openai']"
288,"['d3_52_family', 472, 1, 1, 'yes', 'openai']"
289,"['d3_52_family', 472, 1, 1, 'yes', 'meta']"
290,"['d3_52_family', 472, 1, 1, 'yes', 'mistral']"
291,"['d3_52_family', 2838, 0, 0, 'no', 'mistral']"
292,"['d3_52_family', 2838, 0, 0, 'no', 'meta']"
293,"['d3_52_family', 2838, 0, 0, 'no', 'openai']"
294,"['d3_52_family', 7409, 0, 0, 'no', 'meta']"
295,"['d3_52_family', 7409, 0, 0, 'no', 'openai']"
296,"['d3_52_family', 7409, 0, 0, 'no', 'mistral']"
297,"['d3_52_family', 3935, 0, 0, 'no', 'mistral']"
298,"['d3_52_family', 3935, 0, 0, 'no', 'meta']"
299,"['d3_52_family', 3935, 0, 0, 'no', 'openai']"
300,"['d3_52_family', 7222, 0, 0, 'no', 'meta']"
301,"['d3_52_family', 7222, 0, 0, 'no', 'openai']"
302,"['d3_52_family', 7222, 0, 0, 'no', 'mistral']"
303,"['d3_52_family', 6402, 0, 0, 'no', 'openai']"
304,"['d3_52_family', 6402, 0, 0, 'no', 'meta']"
305,"['d3_52_family', 6402, 0, 0, 'no', 'mistral']"
