,0
159,"['d3_29_sexis', 45, 0, 0, 'no', 'openai']"
160,"['d3_29_sexis', 45, 0, 0, 'no', 'meta']"
161,"['d3_29_sexis', 45, 0, 0, 'no', 'mistral']"
162,"['d3_29_sexis', 57, 0, 0, 'no', 'mistral']"
163,"['d3_29_sexis', 57, 0, 0, 'no', 'meta']"
164,"['d3_29_sexis', 57, 0, 0, 'no', 'openai']"
165,"['d3_29_sexis', 201, 0, 0, 'no', 'meta']"
166,"['d3_29_sexis', 201, 0, 0, 'no', 'openai']"
167,"['d3_29_sexis', 201, 0, 0, 'no', 'mistral']"
168,"['d3_29_sexis', 139, 0, 0, 'no', 'openai']"
169,"['d3_29_sexis', 139, 0, 0, 'no', 'meta']"
170,"['d3_29_sexis', 139, 0, 0, 'no', 'mistral']"
171,"['d3_29_sexis', 130, 0, 1, 'yes', 'openai']"
172,"['d3_29_sexis', 130, 0, 0, 'no', 'meta']"
173,"['d3_29_sexis', 130, 0, 1, 'yes', 'mistral']"
174,"['d3_29_sexis', 36, 1, 1, 'yes', 'openai']"
175,"['d3_29_sexis', 36, 1, 1, 'yes', 'meta']"
176,"['d3_29_sexis', 36, 1, 1, 'yes', 'mistral']"
177,"['d3_29_sexis', 156, 0, 0, 'no', 'mistral']"
178,"['d3_29_sexis', 156, 0, 0, 'no', 'meta']"
179,"['d3_29_sexis', 156, 0, 0, 'no', 'openai']"
180,"['d3_29_sexis', 35, 1, 1, 'yes', 'openai']"
181,"['d3_29_sexis', 35, 1, 1, 'yes', 'meta']"
182,"['d3_29_sexis', 35, 1, 1, 'yes', 'mistral']"
183,"['d3_29_sexis', 81, 0, 0, 'no', 'openai']"
184,"['d3_29_sexis', 81, 0, 0, 'no', 'meta']"
185,"['d3_29_sexis', 81, 0, 0, 'no', 'mistral']"
186,"['d3_29_sexis', 212, 0, 0, 'no', 'mistral']"
187,"['d3_29_sexis', 212, 0, 0, 'no', 'meta']"
188,"['d3_29_sexis', 212, 0, 0, 'no', 'openai']"
189,"['d3_29_sexis', 137, 0, 0, 'no', 'mistral']"
190,"['d3_29_sexis', 137, 0, 0, 'no', 'meta']"
191,"['d3_29_sexis', 137, 0, 0, 'no', 'openai']"
192,"['d3_29_sexis', 119, 0, 1, 'yes', 'openai']"
193,"['d3_29_sexis', 119, 0, 0, 'no', 'meta']"
194,"['d3_29_sexis', 119, 0, 1, 'yes', 'mistral']"
195,"['d3_29_sexis', 147, 0, 0, 'no', 'openai']"
196,"['d3_29_sexis', 147, 0, 0, 'no', 'meta']"
197,"['d3_29_sexis', 147, 0, 0, 'no', 'mistral']"
198,"['d3_29_sexis', 181, 0, 0, 'no', 'mistral']"
199,"['d3_29_sexis', 181, 0, 0, 'no', 'meta']"
200,"['d3_29_sexis', 181, 0, 1, 'yes', 'openai']"
201,"['d3_29_sexis', 166, 0, 0, 'no', 'openai']"
202,"['d3_29_sexis', 166, 0, 0, 'the', 'mistral']"
203,"['d3_29_sexis', 166, 0, 0, 'no', 'meta']"
204,"['d3_29_sexis', 49, 0, 0, 'no', 'meta']"
205,"['d3_29_sexis', 49, 0, 1, 'yes', 'openai']"
206,"['d3_29_sexis', 49, 0, 1, 'yes', 'mistral']"
207,"['d3_29_sexis', 6, 1, 0, 'no', 'mistral']"
208,"['d3_29_sexis', 6, 1, 0, 'no', 'meta']"
209,"['d3_29_sexis', 6, 1, 0, 'no', 'openai']"
210,"['d3_29_sexis', 67, 0, 1, 'yes', 'openai']"
211,"['d3_29_sexis', 67, 0, 0, 'no', 'meta']"
212,"['d3_29_sexis', 67, 0, 0, 'no', 'mistral']"
213,"['d3_29_sexis', 57, 0, 0, 'no', 'meta']"
214,"['d3_29_sexis', 57, 0, 0, 'no', 'openai']"
215,"['d3_29_sexis', 57, 0, 0, 'no', 'mistral']"
216,"['d3_29_sexis', 45, 0, 0, 'no', 'openai']"
217,"['d3_29_sexis', 45, 0, 0, 'no', 'meta']"
218,"['d3_29_sexis', 45, 0, 0, 'no', 'mistral']"
219,"['d3_29_sexis', 202, 0, 1, 'yes', 'openai']"
220,"['d3_29_sexis', 202, 0, 0, 'no', 'meta']"
221,"['d3_29_sexis', 202, 0, 1, 'yes', 'mistral']"
222,"['d3_29_sexis', 188, 0, 0, 'no', 'meta']"
223,"['d3_29_sexis', 188, 0, 0, 'no', 'openai']"
224,"['d3_29_sexis', 188, 0, 0, 'no', 'mistral']"
225,"['d3_29_sexis', 67, 0, 1, 'yes', 'openai']"
226,"['d3_29_sexis', 67, 0, 0, 'no', 'meta']"
227,"['d3_29_sexis', 67, 0, 0, 'no', 'mistral']"
228,"['d3_29_sexis', 140, 0, 0, 'no', 'mistral']"
229,"['d3_29_sexis', 140, 0, 0, 'no', 'meta']"
230,"['d3_29_sexis', 140, 0, 0, 'no', 'openai']"
231,"['d3_29_sexis', 85, 0, 0, 'no', 'mistral']"
232,"['d3_29_sexis', 85, 0, 0, 'no', 'meta']"
233,"['d3_29_sexis', 85, 0, 1, 'yes', 'openai']"
234,"['d3_29_sexis', 196, 0, 0, 'no', 'mistral']"
235,"['d3_29_sexis', 196, 0, 0, 'no', 'meta']"
236,"['d3_29_sexis', 196, 0, 0, 'no', 'openai']"
237,"['d3_29_sexis', 98, 0, 0, 'no', 'mistral']"
238,"['d3_29_sexis', 98, 0, 0, 'no', 'meta']"
239,"['d3_29_sexis', 98, 0, 0, 'no', 'openai']"
240,"['d3_29_sexis', 56, 0, 0, 'no', 'meta']"
241,"['d3_29_sexis', 56, 0, 0, 'no', 'openai']"
242,"['d3_29_sexis', 56, 0, 0, 'no', 'mistral']"
243,"['d3_29_sexis', 53, 0, 1, 'yes', 'mistral']"
244,"['d3_29_sexis', 53, 0, 0, 'no', 'meta']"
245,"['d3_29_sexis', 53, 0, 0, 'no', 'openai']"
246,"['d3_29_sexis', 120, 0, 0, 'no', 'meta']"
247,"['d3_29_sexis', 120, 0, 0, 'no', 'openai']"
248,"['d3_29_sexis', 120, 0, 0, 'no', 'mistral']"
249,"['d3_29_sexis', 56, 0, 0, 'no', 'mistral']"
250,"['d3_29_sexis', 56, 0, 0, 'no', 'meta']"
251,"['d3_29_sexis', 56, 0, 0, 'no', 'openai']"
252,"['d3_29_sexis', 125, 0, 0, 'no', 'mistral']"
253,"['d3_29_sexis', 125, 0, 0, 'no', 'meta']"
254,"['d3_29_sexis', 125, 0, 0, 'no', 'openai']"
255,"['d3_29_sexis', 193, 0, 0, 'no', 'mistral']"
256,"['d3_29_sexis', 193, 0, 0, 'no', 'meta']"
257,"['d3_29_sexis', 193, 0, 0, 'no', 'openai']"
258,"['d3_29_sexis', 85, 0, 1, 'yes', 'openai']"
259,"['d3_29_sexis', 85, 0, 0, 'no', 'meta']"
260,"['d3_29_sexis', 85, 0, 0, 'no', 'mistral']"
261,"['d3_29_sexis', 47, 0, 1, 'yes', 'openai']"
262,"['d3_29_sexis', 47, 0, 1, 'yes', 'mistral']"
263,"['d3_29_sexis', 47, 0, 0, 'no', 'meta']"
264,"['d3_29_sexis', 214, 0, 0, 'no', 'mistral']"
265,"['d3_29_sexis', 214, 0, 0, 'no', 'meta']"
266,"['d3_29_sexis', 214, 0, 1, 'yes', 'openai']"
267,"['d3_29_sexis', 109, 0, 0, 'no', 'openai']"
268,"['d3_29_sexis', 109, 0, 0, 'no', 'meta']"
269,"['d3_29_sexis', 109, 0, 0, 'no', 'mistral']"
270,"['d3_29_sexis', 19, 1, 1, 'yes', 'meta']"
271,"['d3_29_sexis', 19, 1, 1, 'yes', 'openai']"
272,"['d3_29_sexis', 19, 1, 1, 'yes', 'mistral']"
273,"['d3_29_sexis', 10, 1, 1, 'yes', 'openai']"
274,"['d3_29_sexis', 10, 1, 0, 'no', 'meta']"
275,"['d3_29_sexis', 10, 1, 0, 'no', 'mistral']"
276,"['d3_29_sexis', 23, 1, 1, 'yes', 'openai']"
277,"['d3_29_sexis', 23, 1, 1, 'yes', 'mistral']"
278,"['d3_29_sexis', 23, 1, 0, 'no', 'meta']"
279,"['d3_29_sexis', 134, 0, 1, 'yes', 'mistral']"
280,"['d3_29_sexis', 134, 0, 1, 'yes', 'meta']"
281,"['d3_29_sexis', 134, 0, 1, 'yes', 'openai']"
282,"['d3_29_sexis', 170, 0, 1, 'yes', 'meta']"
283,"['d3_29_sexis', 170, 0, 1, 'yes', 'openai']"
284,"['d3_29_sexis', 170, 0, 1, 'yes', 'mistral']"
285,"['d3_29_sexis', 90, 0, 0, 'no', 'openai']"
286,"['d3_29_sexis', 90, 0, 0, 'no', 'meta']"
287,"['d3_29_sexis', 90, 0, 0, 'no', 'mistral']"
288,"['d3_29_sexis', 13, 1, 1, 'yes', 'mistral']"
289,"['d3_29_sexis', 13, 1, 1, 'yes', 'meta']"
290,"['d3_29_sexis', 13, 1, 1, 'yes', 'openai']"
291,"['d3_29_sexis', 82, 0, 0, 'no', 'meta']"
292,"['d3_29_sexis', 82, 0, 0, 'no', 'openai']"
293,"['d3_29_sexis', 82, 0, 0, 'no', 'mistral']"
294,"['d3_29_sexis', 214, 0, 1, 'yes', 'openai']"
295,"['d3_29_sexis', 214, 0, 0, 'no', 'meta']"
296,"['d3_29_sexis', 214, 0, 0, 'no', 'mistral']"
297,"['d3_29_sexis', 113, 0, 0, 'no', 'meta']"
298,"['d3_29_sexis', 113, 0, 0, 'no', 'openai']"
299,"['d3_29_sexis', 113, 0, 0, 'no', 'mistral']"
300,"['d3_29_sexis', 208, 0, 1, 'yes', 'mistral']"
301,"['d3_29_sexis', 208, 0, 0, 'no', 'meta']"
302,"['d3_29_sexis', 208, 0, 1, 'yes', 'openai']"
303,"['d3_29_sexis', 185, 0, 0, 'no', 'mistral']"
304,"['d3_29_sexis', 185, 0, 0, 'no', 'meta']"
305,"['d3_29_sexis', 185, 0, 0, 'no', 'openai']"
